uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
6KRPT8ZY9m2NaWSh8s8mrn,0.761,0.644,9,-4.496,0.0523,0.344,1.55e-06,0.696,83.986
3uHxCgxHJIAGY52Oz39xqC,0.734,0.836,10,-4.803,0.0736,0.0171,1.71e-05,0.622,80.002
59HKCnY01wQLydrAWqbva5,0.829,0.772,10,-5.43,0.104,0.0559,0.000488,0.702,95.995
4LwBxSuZQUJ6kKD1qbcQK7,0.829,0.772,10,-5.43,0.104,0.0559,0.000488,0.702,95.995
20WVaMhJq7PZjp2goKgtPy,0.76,0.658,7,-5.275,0.275,0.162,0.0,0.565,100.202
6QNphn62YKaHG1hrnPSoHi,0.822,0.59,6,-8.005,0.18,0.429,0.0,0.383,89.995
4ipnJyDU3Lq15qBAYNqlqK,0.774,0.687,11,-4.818,0.0584,0.0179,1.17e-05,0.308,104.959
5gflgO9EPbIBf16n5TKnQS,0.808,0.697,10,-5.899,0.241,0.041,0.0,0.554,95.06
228BxWXUYQPJrJYHDLOHkj,0.852,0.797,0,-6.543,0.0614,0.322,2.69e-06,0.741,96.008
5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,0.0343,0.00776,6.98e-05,0.442,130.001
5w9c2J52mkdntKOmRLeM2m,0.737,0.86,8,-2.652,0.0593,0.11,1.94e-06,0.656,93.989
5ww2BF9slyYgNOk37BlC4u,0.835,0.679,7,-5.329,0.0364,0.583,1.98e-06,0.85,124.98
63aj87TQG6F3RVO5nbG2VQ,0.915,0.72,8,-3.126,0.0459,0.025,1.42e-05,0.631,126.986
6Sq7ltF9Qa7SNFBsV5Cogx,0.911,0.712,1,-5.105,0.0817,0.0901,2.68e-05,0.425,92.005
1IHWl5LamUGEuP4ozKQSXZ,0.65,0.715,5,-5.198,0.253,0.0993,0.000291,0.187,106.672
